term,definition,aliases
ISO 27001,"ISO 27001 — an international standard (ISO/IEC 27001) for establishing and maintaining an information security management system (ISMS); provides a systematic framework for managing sensitive data and security controls, and organizations (including data centers) seek ISO 27001 certification to validate their information security practices.","ISO 27001; ISO/IEC 27001; ISO 27001:2013; information security standard; ISMS standard"
LEED,"Leadership in Energy and Environmental Design — a globally recognized green building certification system developed by the U.S. Green Building Council; data center facilities can earn LEED certification by meeting sustainability and efficiency criteria in design, construction, and operations.","LEED; LEED certification; green building certification; sustainable design; LEED rating"
Meet-Me Room,"Meet-Me Room — secure, centralized area in a data center where multiple telecommunications carriers and providers interconnect; contains demarcation equipment and cross-connects that allow tenants and networks to exchange data traffic directly within the facility.","meet-me room; MMR; meet me room; interconnect room; carrier room"
MTBF,"Mean Time Between Failures — a reliability metric indicating the average operating time between inherent failures of a system or component; typically measured in hours, it predicts how frequently an equipment or system is likely to fail during continuous operation.","mean time between failures; MTBF rate; reliability metric; failure interval; average uptime"
MTTR,"Mean Time to Repair — a maintainability metric measuring the average time required to diagnose and repair a failed component or system and restore it to normal operation; includes detection, troubleshooting, and fix time for the failure.","mean time to repair; MTTR rate; repair time; recovery time; fix time"
N+1,"A redundancy configuration where the system has one additional (N+1) component beyond what is required for normal operation; allows maintenance or a single failure without downtime.","N + 1; N +1; N1+; N+1 redundancy; N plus 1"
PDU,"Power Distribution Unit — an electrical device in a rack that distributes power to multiple pieces of IT equipment via multiple outlets; may be basic or ""intelligent"" (with remote monitoring and switching) and often includes circuit protection.","power distribution unit; rack PDU; cabinet PDU; power strip; power distribution strip"
PUE,"Power Usage Effectiveness — ratio of total facility energy consumption to IT equipment energy consumption; a widely used data center efficiency metric where a value closer to 1.0 indicates greater energy efficiency.","power usage effectiveness; power utilization effectiveness; PUE ratio; PUE metric"
Raised Floor,"Raised Floor — elevated floor system in a data center that creates an under-floor plenum for distributing cooled air and for routing power and data cabling; facilitates efficient cooling airflow and organized cable management.","raised access floor; access floor; raised flooring; access flooring; raised floor system"
RPO,"Recovery Point Objective — the maximum acceptable amount of data loss (measured in time) that can be tolerated after an interruption; defines how up-to-date data should be when restored (e.g. an RPO of 4 hours means backups or replicas at least every four hours).","recovery point objective; RPO window; acceptable data loss; backup interval; RPO target"
RTO,"Recovery Time Objective — the maximum targeted duration of downtime after an outage within which systems must be restored; defines how quickly operations need to be resumed to avoid significant impact (e.g. an RTO of 2 hours means service must be back online within 2 hours).","recovery time objective; RTO window; downtime tolerance; restore time; RTO target"
Server Rack,"Server Rack — standardized frame structure (typically 19-inch width) for mounting and organizing servers, network switches, and other IT equipment in a vertical stack; racks may be open-frame or enclosed (cabinet style) and are designed to support hardware while aiding airflow and cable management.","server rack; rack; equipment rack; 19-inch rack; open rack"
SLA,"Service Level Agreement — contract between a service provider and a client that defines expected service standards (such as uptime, performance, support response) and how they are measured; typically includes uptime commitments (e.g. 99.99% availability) and remedies if those levels are not met.","service level agreement; SLA contract; uptime guarantee; service commitment; service contract"
SOC 2,"Service Organization Control 2 — a compliance standard (developed by AICPA) for service organizations, which defines requirements for managing customer data across five trust service categories (security, availability, processing integrity, confidentiality, privacy); data center operators undergo regular SOC 2 audits to demonstrate strong security and operational controls.","SOC 2; Service Organization Control 2; SOC II; SOC Type 2; SOC audit"
Standby Power,"Backup power capacity available to support critical loads during utility outage, typically supplied by diesel generators and UPS systems.","backup power; emergency power; generator backup; emergency generator; standby gen"
Tier I/II/III/IV,"Tier I/II/III/IV — standardized data center classification defined by the Uptime Institute, ranging from Tier I (basic infrastructure) to Tier IV (fault-tolerant infrastructure with multiple redundancies); higher tiers correspond to increasing levels of redundancy and availability.","Tier 1; Tier 2; Tier 3; Tier 4; Uptime tiers"
UPS,"Uninterruptible Power Supply — power conditioning and short-term energy storage between utility and generator.","uninterruptible power supply; battery UPS; static UPS; rotary UPS"
White Space,"White Space — the area within a data center where IT equipment (servers, storage, networking) is housed; refers to the conditioned, secure space containing racks and cabinets (as opposed to mechanical or electrical support areas in the ""gray space"").","whitespace; white space area; data hall; IT floor space; technical space"
